Test case	Expected	Actual	Remarks	Result Status
48. Verify challan fine for overspeeding should be ₹1500 as per the applicable Chhattisgarh road challan schedule	₹1000-2000		1000rs to 2000rs	Pass
51. Verify challan fine for drunk driving should be ₹10000 as per the applicable Chhattisgarh road challan schedule	₹10000		first offence : upto 10000rs and six month of imprisonment 	Pass
Verify challan fine for offenses relating to maintenance, construction, sale, and alteration of motor vehicles should be ₹5000 as per the latest Chhattisgarh schedule	₹ 5,000		2000rs to 5000rs	Fail
Verify disobedience of orders or refusal of information to authority should attract ₹2000 and/or imprisonment up to 1 month as per the latest Chhattisgarh schedule	₹2000 and/or imprisonment up to 1 month			Pass
Verify unauthorized person driving a motor vehicle should attract ₹5000 and/or imprisonment up to 3 months as per the latest Chhattisgarh schedule	₹5000 and/or imprisonment up to 3 months	retrieved ₹5000 / 3 months imprisonment	BNS Sections 179, 212, 223.\nPenalty: Fine up to 500 rupees; if refusal causes danger to human life or public safety, imprisonment up to 1 year or fine up to 5,000 rupees	Pass
Verify dangerous or rash driving challan should be how much fine for the first offense and ₹how much fine for subsequent offense as per the latest Chhattisgarh schedule	First offense: ₹1000-₹5000; Subsequent offense: ₹10000		not according to amedment 	Fail
Verify drunken driving challan should be ₹10000 for the first offense and  for the 15000 subsequent offense as per the latest Chhattisgarh schedule	First offense: ₹10000; Subsequent offense: ₹15000		first offence - 6 months imprison and upto2000 and subsequent - 2 year upto 3000	Pass
Verify racing challan should be ₹5000 and/or 3 months imprisonment for the first offense and ₹10000 and/or 1-year imprisonment for a subsequent offense as per the latest Chhattisgarh schedule	First offense: ₹5000 and/or 3 months imprisonment; Subsequent offense: ₹10000 and/or 1-year imprisonment		First offense: ₹5000 and/or 6 months imprisonment; Subsequent offense: ₹10000 and/or 1-year imprisonment	pass
Verify driving a vehicle in poor condition should attract ₹1500 as per the latest Chhattisgarh schedule	₹ 1,500		1000 fine showing for first offence and section 134 showing whicih is not correct - it should be section 190 	Fail
Verify driving a vehicle without registration should attract ₹10000 and/or imprisonment for 6 months as per the latest Chhattisgarh schedule	₹10000 and/or imprisonment for 6 months		showing fine upto 5000 and 3 months jail	Fail
Verify driving a vehicle without insurance should attract ₹2000-₹5000 for the first offense and ₹5000-₹10000 for a subsequent offense as per the latest Chhattisgarh schedule	First offense: ₹2000-₹5000; Subsequent offense: ₹5000-₹10000		showing first offence 2000 and subsequent offence 4000 and section 129, for uninsured vehicle the sections are 146 and section 196 of MVA 1988	Fail
Verify driving over-loaded goods vehicles should attract ₹20000 and ₹2000 per extra tonne as per the latest Chhattisgarh schedule	₹20000 and ₹2000 per extra tonne		First offense Fine up to Rs. 2,000; Subsequent offense Fine up to Rs. 4,000 as per the latest Chhattisgarh schedule	Fail
Verify refusing to stop for weighing the vehicle should attract ₹40000 as per the latest Chhattisgarh schedule	₹40000		Refusing to stop and submit a vehicle to weighing after being directed by an authorized officer is punishable with a fine which extend up to Rs. 3,000 as per the latest Chhattisgarh schedule.	Fail
